rct_1_smi,rct_2_smi,sol_smi,base_smi,metal,lig_smi,temperature,coord_atoms,ee,yield,ddG
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,COc1ccc([C@@H](c2cc(OC)c(OC)cc2P(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,25.0,P S,0.19,0.07,0.2281191620580578
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1-c1c2ccccc2cc2ccccc12)[S@](=O)C(C)(C)C,25.0,P S,0.47,0.09,0.60496272379928
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc2ccccc2c1)c1ccccc1P(c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,25.0,P S,0.33,0.09,0.4066072847198745
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,C[C@@H](c1ccccc1P(c1ccccc1)c1ccccc1)N(C)[S@](=O)C(C)(C)C,25.0,P S,0.55,0.0,0.733423641708837
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,Cc1cc(C)cc([C@@H](c2ccccc2P(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)c1,25.0,P S,0.19,0.06,0.2281191620580578
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,Cc1ccccc1[C@@H](c1ccccc1P(c1ccccc1)c1ccccc1)N(C)[S@](=O)C(C)(C)C,25.0,P S,0.13,0.05,0.1550624102309661
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc(C(C)(C)C)cc1)c1ccccc1P(c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,25.0,P S,0.22,0.07,0.2652646099880384
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1P(c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,25.0,P S,0.36,0.06,0.4470009427684201
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,C[C@@H](c1ccccc1P(C1CCCCC1)C1CCCCC1)N(C)[S@](=O)C(C)(C)C,25.0,P S,0.24,0.05,0.2903113615528974
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc2ccccc2c1)c1ccccc1P(C1CCCCC1)C1CCCCC1)[S@](=O)C(C)(C)C,25.0,P S,0.11,0.05,0.1309942221993227
