rct_1_smi,rct_2_smi,sol_smi,base_smi,metal,lig_smi,temperature,coord_atoms,ee,yield,ddG,complex_smi
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,COc1ccc([C@@H](c2cc(OC)c(OC)cc2P(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,25.0,P S,0.19,0.07,0.2281191620580578,[H]c1c([H])c([H])c(P2(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c32)c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1-c1c2ccccc2cc2ccccc12)[S@](=O)C(C)(C)C,25.0,P S,0.47,0.09,0.60496272379928,[H]c1c([H])c([H])c(P2(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3-c3c4c([H])c([H])c([H])c([H])c4c([H])c4c([H])c([H])c([H])c([H])c34)C2([H])[H])c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc2ccccc2c1)c1ccccc1P(c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,25.0,P S,0.33,0.09,0.4066072847198745,[H]c1c([H])c([H])c(P2(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c4c([H])c([H])c([H])c([H])c4c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,C[C@@H](c1ccccc1P(c1ccccc1)c1ccccc1)N(C)[S@](=O)C(C)(C)C,25.0,P S,0.55,0.0,0.733423641708837,[H]c1c([H])c([H])c(P2(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,Cc1cc(C)cc([C@@H](c2ccccc2P(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)c1,25.0,P S,0.19,0.06,0.2281191620580578,[H]c1c([H])c([H])c(P2(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,Cc1ccccc1[C@@H](c1ccccc1P(c1ccccc1)c1ccccc1)N(C)[S@](=O)C(C)(C)C,25.0,P S,0.13,0.05,0.1550624102309661,[H]c1c([H])c([H])c(P2(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3C([H])([H])[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc(C(C)(C)C)cc1)c1ccccc1P(c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,25.0,P S,0.22,0.07,0.2652646099880384,[H]c1c([H])c([H])c(P2(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1P(c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,25.0,P S,0.36,0.06,0.4470009427684201,[H]c1c([H])c([H])c(P2(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c4c(c3[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C4(C([H])([H])[H])C([H])([H])[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccccc1)c1ccccc1P(c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,25.0,P S,0.2,0.06,0.2404484819048044,[H]c1c([H])c([H])c([C@@]2([H])c3c([H])c([H])c([H])c([H])c3P(c3c([H])c([H])c([H])c([H])c3[H])(c3c([H])c([H])c([H])c([H])c3[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N2C([H])([H])[H])c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,C[C@@H](c1ccccc1P(C1CCCCC1)C1CCCCC1)N(C)[S@](=O)C(C)(C)C,25.0,P S,0.24,0.05,0.2903113615528974,[H]c1c([H])c([H])c2c(c1[H])[C@]([H])(C([H])([H])[H])N(C([H])([H])[H])[S@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ni](c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)(c1c(C([H])([H])[H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)<-P2(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
