Unnamed: 0,rct_1_smi,rct_2_smi,sol_smi,base_smi,metal,lig_smi,temperature,coord_atoms,ee,yield,ddG,doi,Unnamed: 13
0,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,Cc1ccccc1.O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Pd,COc1ccccc1C12[C@@H]3C4C5C1(P(C1CCCCC1)C1CCCCC1)[Fe]45321678C2C1C6C7C28,70,P,0.43,0.62,0.627780776,doi.org/10.1021/ol034943n,
1,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Cs+].[F-],Pd,COc1ccccc1C12[C@@H]3C4C5C1(P(C1CCCCC1)C1CCCCC1)[Fe]45321678C2C1C6C7C28,70,P,0.46,0.28,0.678853488,doi.org/10.1021/ol034943n,
2,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Ba+2].[OH-].[OH-],Pd,COc1ccccc1C12[C@@H]3C4C5C1(P(C1CCCCC1)C1CCCCC1)[Fe]45321678C2C1C6C7C28,70,P,0.46,0.3,0.678853488,doi.org/10.1021/ol034943n,
25,Brc1c(OCc2ccccc2)ccc2ccccc12,OB(O)c1c(OCc2ccccc2)ccc2ccccc12,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,50,P,0.6,0.95,0.891032111,doi.org/10.1002/chem.200600616,
26,Brc1c(OCc2ccccc2)ccc2ccccc12,OB(O)c1c(OCc2ccccc2)ccc2ccccc12,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.88,0.5,1.850624132,doi.org/10.1002/chem.200600616,
27,COc1ccc2ccccc2c1Br,COc1ccc2ccccc2c1B(O)O,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,50,P,0.5,0.95,0.706126241,doi.org/10.1002/chem.200600616,
28,COc1ccc2ccccc2c1Br,COc1ccc2ccccc2c1B(O)O,COCCOC,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.57,0.5,0.871020188,doi.org/10.1002/chem.200600616,
29,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.85,0.85,1.689723331,doi.org/10.1002/chem.200600616,
30,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,COCCOC,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.9,0.55,1.980367035,doi.org/10.1002/chem.200600616,
31,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,COCCOC,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.85,0.85,1.689723331,doi.org/10.1002/chem.200600616,
33,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,C1CCOC1,[Cs+].[F-],Pd,CN(C)[C@H](c1ccccc1)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.73,0.62,1.249284546,doi.org/10.1002/chem.200600616,
34,Brc1c(OCc2ccccc2)ccc2ccccc12,OB(O)c1c(OCc2ccccc2)ccc2ccccc12,COCCOC,[Cs+].[F-],Pd,CN(C)[C@H](c1ccccc1)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,50,P,0.37,0.86,0.499313081,doi.org/10.1002/chem.200600616,
35,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,COCCOC,[Cs+].[F-],Pd,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)C23C4C5[C@H]6C2([C@@H](C)N(C)C)[Fe]54632789C3C2C7C8C39)cc1C,65,P,0.68,0.5,1.115288937,doi.org/10.1002/chem.200600616,
36,Brc1c(OCc2ccccc2)ccc2ccccc12,OB(O)c1c(OCc2ccccc2)ccc2ccccc12,C1CCOC1,[Cs+].[F-],Pd,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)C23C4C5[C@H]6C2([C@@H](C)N(C)C)[Fe]54632789C3C2C7C8C39)cc1C,50,P,0.66,0.45,1.019152099,doi.org/10.1002/chem.200600616,
37,Cc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[Fe]45321678C2C1C6C7C28,65,P,0.68,0.66,1.115288937,doi.org/10.1002/chem.200600616,
38,Brc1c(OCc2ccccc2)ccc2ccccc12,OB(O)c1c(OCc2ccccc2)ccc2ccccc12,COCCOC,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)[Fe]45321678C2C1C6C7C28,50,P,0.33,0.75,0.440701473,doi.org/10.1002/chem.200600616,
39,Cc1ccc2ccccc2c1Br,COc1ccc2ccccc2c1B(O)O,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.73,0.8,1.249284546,doi.org/10.1002/chem.200600616,
40,COc1ccc2ccccc2c1Br,Cc1ccc2ccccc2c1B(O)O,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.65,0.77,1.042898842,doi.org/10.1002/chem.200600616,
41,Brc1c(OCc2ccccc2)ccc2ccccc12,COc1ccc2ccccc2c1B(O)O,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.62,0.93,0.975246005,doi.org/10.1002/chem.200600616,
42,COc1ccc2ccccc2c1Br,OB(O)c1c(OCc2ccccc2)ccc2ccccc12,C1CCOC1,[Cs+].[F-],Pd,C[C@@H](N(C)C)C12[C@@H]3C4C5C1(P(c1ccccc1)c1ccccc1)[Fe]45321678C2C1C6C7C28,65,P,0.6,0.9,0.932392104,doi.org/10.1002/chem.200600616,
43,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[K+].[OH-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@H]3OC(C)(C)O[C@@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.38,0.3,0.466528719,doi.org/10.1016/j.tetasy.2007.04.020,
44,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Na+].[OH-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@H]3OC(C)(C)O[C@@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.36,0.25,0.4395047,doi.org/10.1016/j.tetasy.2007.04.020,
45,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Cs+].[OH-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@H]3OC(C)(C)O[C@@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.37,0.16,0.45295878,doi.org/10.1016/j.tetasy.2007.04.020,
46,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Cs+].[F-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@H]3OC(C)(C)O[C@@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.4,0.19,0.494037308,doi.org/10.1016/j.tetasy.2007.04.020,
47,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,O=C([O-])[O-].[Cs+].[Cs+],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@H]3OC(C)(C)O[C@@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.46,0.54,0.579938511,doi.org/10.1016/j.tetasy.2007.04.020,
48,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Ba+2].[OH-].[OH-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@H]3OC(C)(C)O[C@@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.43,0.31,0.536307547,doi.org/10.1016/j.tetasy.2007.04.020,
49,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[K+].[OH-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@@H]3OC(C)(C)O[C@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.35,0.45,0.426161465,doi.org/10.1016/j.tetasy.2007.04.020,
50,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Na+].[OH-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@@H]3OC(C)(C)O[C@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.34,0.43,0.412924257,doi.org/10.1016/j.tetasy.2007.04.020,
51,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Cs+].[OH-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@@H]3OC(C)(C)O[C@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.33,0.61,0.399788447,doi.org/10.1016/j.tetasy.2007.04.020,
53,Brc1cccc2ccccc12,Cc1ccc2ccccc2c1B(O)O,COCCOC.O,[Ba+2].[OH-].[OH-],Pd,CC(C)[C@H]1COC(c2ccccc2CN(Cc2ccccc2)P2OC(c3ccccc3)(c3ccccc3)[C@@H]3OC(C)(C)O[C@H]3C(c3ccccc3)(c3ccccc3)O2)=N1,20,"N,P",0.18,0.25,0.212218729,doi.org/10.1016/j.tetasy.2007.04.020,
62,COc1ccc2ccccc2c1Br,Cc1ccccc1B(O)O,C1COCCO1.O,[Ba+2].[OH-].[OH-].O,Pd,COC(=O)CC[C@@H](C)[C@H]1CCC2C3CCC4C[C@H](OC(C)=O)CC[C@]4(C)C3C[C@H](Op3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)[C@@]21C,80,P,0.13,0.9,0.183666913,doi.org/10.1016/j.tetasy.2011.12.006,
63,COc1ccc2ccccc2c1Br,Cc1ccccc1B(O)O,C1COCCO1.O,[Ba+2].[OH-].[OH-].O,Pd,COC(=O)CC[C@@H](C)[C@H]1CCC2C3CCC4C[C@H](OC(C)=O)CC[C@]4(C)C3C[C@H](Op3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)[C@@]21C,25,P,0.23,0.77,0.277757571,doi.org/10.1016/j.tetasy.2011.12.006,
64,COc1ccc2ccccc2c1Br,Cc1ccccc1B(O)O,Cc1ccccc1.O,[Ba+2].[OH-].[OH-].O,Pd,COC(=O)CC[C@@H](C)[C@H]1CCC2C3CCC4C[C@H](OC(C)=O)CC[C@]4(C)C3C[C@H](Op3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)[C@@]21C,25,P,0.26,0.73,0.315614642,doi.org/10.1016/j.tetasy.2011.12.006,
65,COc1ccc2ccccc2c1Br,Cc1ccccc1B(O)O,Cc1ccccc1.O,[Ba+2].[OH-].[OH-].O,Pd,COC(=O)CC[C@@H](C)[C@H]1CCC2C3CCC4C[C@H](OC(C)=O)CC[C@]4(C)C3C[C@H](Op3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)[C@@]21C,25,P,0.29,0.74,0.354110889,doi.org/10.1016/j.tetasy.2011.12.006,
66,COc1ccc2ccccc2c1Br,Cc1ccccc1B(O)O,Cc1ccccc1.O,[Ba+2].[OH-].[OH-].O,Pd,COC(=O)CC[C@@H](C)[C@H]1CCC2C3CCC4C[C@H](OC(C)=O)CC[C@]4(C)C3C[C@H](Op3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)[C@@]21C,25,P,0.18,0.15,0.215838356,doi.org/10.1016/j.tetasy.2011.12.006,
67,COc1ccc2ccccc2c1Br,Cc1ccccc1B(O)O,Cc1ccccc1.O,O=C([O-])[O-].[Cs+].[Cs+],Pd,COC(=O)CC[C@@H](C)[C@H]1CCC2C3CCC4C[C@H](OC(C)=O)CC[C@]4(C)C3C[C@H](Op3oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)[C@@]21C,25,P,0.15,0.73,0.179258277,doi.org/10.1016/j.tetasy.2011.12.006,
